Time,Graph Time,Power,Speed,Axle Torque,Tacho,Axle Speed,TqC,TE,Comments
sec,sec,kW,km/h,Nm,rpm,rpm,Nm,N,
1.260,0.000,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.280,0.020,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.300,0.040,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.320,0.060,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.340,0.080,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.360,0.100,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.380,0.120,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.400,0.140,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.420,0.160,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.440,0.180,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.460,0.200,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.480,0.220,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.500,0.240,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.520,0.260,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.540,0.280,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.560,0.300,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.580,0.320,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.600,0.340,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.620,0.360,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.640,0.380,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.660,0.400,0.000,0.000,0.100,0.000,0.000,-,0.000,
1.680,0.420,0.000,0.000,0.300,0.000,0.000,-,0.000,
1.700,0.440,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.720,0.460,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.740,0.480,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.760,0.500,0.000,0.000,0.600,0.000,0.000,-,0.000,
1.780,0.520,0.000,0.000,0.800,0.000,0.000,-,0.000,
1.800,0.540,0.000,0.000,1.000,0.000,0.000,-,0.000,
1.820,0.560,0.000,0.000,1.000,0.000,0.000,-,0.000,
1.840,0.580,0.000,0.000,1.000,0.000,0.000,-,0.000,
1.860,0.600,0.000,0.000,1.100,0.000,0.000,-,0.000,
1.880,0.620,0.000,0.000,1.300,0.000,0.000,-,0.000,
1.900,0.640,0.000,0.000,1.500,0.000,0.000,-,0.000,
1.920,0.660,0.000,0.000,1.700,0.000,0.000,-,0.000,
1.940,0.680,0.000,0.000,1.900,0.000,0.000,-,0.000,
1.960,0.700,0.000,0.000,2.000,0.000,0.000,-,0.000,
1.980,0.720,0.000,0.000,2.000,0.000,0.000,-,0.000,
2.000,0.740,0.000,0.000,2.000,0.000,0.000,-,0.000,
2.020,0.760,0.000,0.000,2.200,0.000,0.000,-,0.000,
2.040,0.780,0.000,0.000,2.400,0.000,0.000,-,0.000,
2.060,0.800,0.000,0.000,2.600,0.000,0.000,-,0.000,
2.080,0.820,0.000,0.000,2.800,0.000,0.000,-,0.000,
2.100,0.840,0.000,0.000,3.000,0.000,0.000,-,0.000,
2.120,0.860,0.000,0.000,3.000,0.000,0.000,-,0.000,
2.140,0.880,0.000,0.000,3.000,0.000,0.000,-,0.000,
2.160,0.900,0.000,0.000,3.100,0.000,0.000,-,0.000,
2.180,0.920,0.000,0.000,3.300,0.000,0.000,-,0.000,
2.200,0.940,0.000,0.000,3.500,0.000,0.000,-,0.000,
2.220,0.960,0.000,0.000,3.500,0.000,0.000,-,0.000,
2.240,0.980,0.000,0.000,3.500,0.000,0.000,-,0.000,
2.260,1.000,0.000,0.000,3.500,0.000,0.000,-,0.000,
2.280,1.020,0.000,0.000,3.500,0.000,0.000,-,0.000,
2.300,1.040,0.000,0.000,3.500,0.000,0.000,-,0.000,
2.320,1.060,0.000,0.000,3.700,0.000,0.000,-,0.000,
2.340,1.080,0.000,0.000,3.900,0.000,0.000,-,0.000,
2.360,1.100,0.000,0.000,4.000,0.000,0.000,-,0.000,
2.380,1.120,0.000,0.000,4.000,0.000,0.000,-,0.000,
2.400,1.140,0.000,0.000,4.000,0.000,0.000,-,0.000,
2.420,1.160,0.000,0.000,4.000,0.000,0.000,-,0.000,
2.440,1.180,0.000,0.000,4.000,0.000,0.000,-,0.000,
2.460,1.200,0.000,0.000,4.000,0.000,0.000,-,0.000,
2.480,1.220,0.000,0.000,4.000,0.000,0.000,-,0.000,
2.500,1.240,0.000,0.000,4.000,0.000,0.000,-,0.000,
2.520,1.260,0.000,0.429,4.200,18.338,8.416,0.235,3.792,
2.540,1.280,0.002,0.858,4.400,36.677,16.832,0.471,7.584,
2.560,1.300,0.004,1.224,4.500,52.308,21.200,0.669,10.780,
2.580,1.320,0.006,1.526,4.500,65.231,21.520,0.831,13.380,
