Time,Graph Time,Power,Speed,Axle Torque,Tacho,Axle Speed,TqC,TE,Comments
sec,sec,kW,km/h,Nm,rpm,rpm,Nm,N,
1.310,0.000,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.330,0.020,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.350,0.040,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.370,0.060,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.390,0.080,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.410,0.100,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.430,0.120,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.450,0.140,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.470,0.160,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.490,0.180,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.510,0.200,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.530,0.220,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.550,0.240,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.570,0.260,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.590,0.280,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.610,0.300,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.630,0.320,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.650,0.340,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.670,0.360,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.690,0.380,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.710,0.400,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.730,0.420,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.750,0.440,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.770,0.460,0.000,0.000,0.700,0.000,0.000,-,0.000,
1.790,0.480,0.000,0.000,0.900,0.000,0.000,-,0.000,
1.810,0.500,0.000,0.000,1.000,0.000,0.000,-,0.000,
1.830,0.520,0.000,0.000,1.000,0.000,0.000,-,0.000,
1.850,0.540,0.000,0.000,1.000,0.000,0.000,-,0.000,
1.870,0.560,0.000,0.000,1.200,0.000,0.000,-,0.000,
1.890,0.580,0.000,0.000,1.400,0.000,0.000,-,0.000,
1.910,0.600,0.000,0.000,1.500,0.000,0.000,-,0.000,
1.930,0.620,0.000,0.000,1.500,0.000,0.000,-,0.000,
1.950,0.640,0.000,0.000,1.500,0.000,0.000,-,0.000,
1.970,0.660,0.000,0.000,1.700,0.000,0.000,-,0.000,
1.990,0.680,0.000,0.000,1.900,0.000,0.000,-,0.000,
2.010,0.700,0.000,0.000,2.100,0.000,0.000,-,0.000,
2.030,0.720,0.000,0.000,2.300,0.000,0.000,-,0.000,
2.050,0.740,0.000,0.000,2.500,0.000,0.000,-,0.000,
2.070,0.760,0.000,0.000,2.500,0.000,0.000,-,0.000,
2.090,0.780,0.000,0.000,2.500,0.000,0.000,-,0.000,
2.110,0.800,0.000,0.000,2.600,0.000,0.000,-,0.000,
2.130,0.820,0.000,0.000,2.800,0.000,0.000,-,0.000,
2.150,0.840,0.000,0.000,3.000,0.000,0.000,-,0.000,
2.170,0.860,0.000,0.000,3.000,0.000,0.000,-,0.000,
2.190,0.880,0.000,0.000,3.000,0.000,0.000,-,0.000,
