N cmd (ramp);N actual;I cmd (ramp);I actual;Id actual;I1 actual;I2 actual;I3 actual
3924;533;12.69;12.16;1.59;11.63;-8.46;-3.17
3971;537;12.69;13.75;-1.06;-8.46;13.75;-5.29
4019;537;12.69;13.22;-3.17;-1.06;-11.10;12.16
4068;544;12.69;10.57;-0.53;9.52;-0.53;-8.99
4116;558;12.69;10.57;1.59;-8.99;9.52;-0.53
4164;555;12.69;13.75;-1.59;6.87;-13.75;6.87
4212;569;12.69;13.75;-0.53;4.76;8.99;-13.75
4260;569;12.69;11.10;-0.53;-10.04;0.53;9.52
4308;566;12.69;9.52;1.06;8.46;-8.46;0.00
4355;577;12.69;13.75;-0.53;-7.40;13.75;-6.34
4404;577;12.69;13.22;-0.53;-1.59;-10.57;12.16
4452;588;12.69;11.10;0.00;8.46;2.11;-10.57
4500;599;12.69;11.10;0.00;-11.10;4.76;6.34
4548;595;12.69;11.63;1.06;8.99;-10.57;1.59
4596;606;12.69;13.75;-0.53;-6.34;13.75;-7.40
4644;610;12.69;11.10;-1.59;0.00;-9.52;9.52
4691;621;12.69;8.99;-0.53;5.29;3.70;-8.99
4740;621;12.69;8.46;-0.53;-7.93;1.06;6.87
4788;624;12.69;10.04;0.53;9.52;-6.87;-2.64
4836;624;12.69;10.57;1.06;-7.40;10.04;-2.64
4884;632;12.69;10.57;-1.59;5.82;-10.57;4.76
4932;639;12.69;8.46;1.59;2.11;5.82;-7.93
4980;650;12.69;6.87;-2.64;-0.53;-5.82;6.34
5027;650;12.69;7.40;0.53;6.34;0.00;-6.34
5076;646;12.69;5.82;-0.53;-5.29;1.06;4.23
5124;650;12.69;6.34;0.00;6.34;-4.23;-2.11
5172;646;12.69;5.29;1.06;-3.17;5.29;-2.11
5220;650;12.69;5.29;-2.64;4.76;-4.76;0.00
5268;650;12.69;3.17;0.53;0.53;2.64;-3.17
5316;650;12.69;4.76;-3.17;2.11;-4.76;2.64
5364;653;12.69;3.70;-0.53;1.59;2.11;-3.70
5412;653;12.69;3.70;0.53;-3.70;1.06;2.64
5460;646;12.69;2.11;0.00;2.11;-1.06;-1.06
5508;646;12.69;4.76;1.06;-3.70;4.23;-0.53
5556;650;12.69;3.70;-0.53;3.17;-3.17;0.00
5604;650;12.69;2.64;0.53;-0.53;2.64;-2.11
5652;650;12.69;1.59;0.53;-0.53;-1.06;1.59
5700;653;12.69;3.70;0.00;1.06;2.64;-3.70
5748;653;12.69;2.64;1.06;-2.64;0.53;2.11
5796;650;12.69;4.23;0.53;4.23;-1.06;-3.17
5844;661;12.69;3.70;-0.53;-3.70;1.06;2.64
5892;657;12.69;5.82;0.00;5.29;-4.23;-1.06
5940;657;12.69;5.29;0.00;-4.23;4.76;-0.53
5988;661;12.69;3.70;-1.59;3.17;-3.17;0.00
6000;653;12.69;3.17;1.59;1.59;1.59;-3.17
6000;657;12.69;-3.17;-2.64;2.11;-3.70;1.59
6000;653;12.69;3.17;-1.59;0.00;2.64;-2.64
6000;661;12.69;2.11;0.53;-2.11;1.06;1.06
6000;661;12.69;4.23;0.00;4.23;-1.59;-2.64
6000;653;12.69;2.11;1.06;-1.59;2.11;-0.53
6000;653;12.69;4.76;-1.06;4.76;-3.70;-1.06
6000;661;12.69;4.76;-0.53;-3.17;4.76;-1.59
6000;657;12.69;1.06;0.00;0.53;-1.06;0.53
6000;650;12.69;3.17;0.00;1.06;2.11;-3.17
6000;646;12.69;1.59;0.53;-1.59;0.00;1.59
6000;653;12.69;3.70;2.11;3.70;-2.11;-1.59
6000;657;12.69;1.59;0.00;-1.59;0.53;1.06
6000;661;12.69;4.23;0.00;4.23;-2.64;-1.59
6000;661;12.69;3.17;0.00;-2.64;3.17;-0.53
6000;653;12.69;4.76;-2.11;4.23;-3.70;-0.53
6000;653;12.69;2.64;0.53;0.00;2.11;-2.11
6000;657;12.69;-1.06;-1.06;1.06;-1.59;0.53
6000;664;12.69;4.23;-2.11;-0.53;3.70;-3.17
6000;657;12.69;1.06;0.00;-1.06;0.00;1.06
6000;661;12.69;4.23;0.00;4.23;-1.06;-3.17
6000;653;12.69;1.59;0.00;-1.59;0.53;1.06
6000;661;12.69;4.76;0.00;4.23;-3.70;-0.53
6000;653;12.69;3.17;1.06;-1.06;3.17;-2.11
6000;650;12.69;-2.11;-1.59;2.64;-2.11;-0.53
6000;653;12.69;4.23;3.17;3.17;0.53;-3.70
6000;657;12.69;2.64;-0.53;0.00;-2.11;2.11
6000;653;12.69;3.70;1.06;3.17;0.00;-3.17
6000;653;12.69;1.59;0.53;-1.59;1.06;0.53
6000;661;12.69;4.23;0.00;4.23;-1.59;-2.64
6000;657;12.69;2.11;1.06;-1.59;2.11;-0.53
6000;657;12.69;4.76;-0.53;4.23;-3.70;-0.53
6000;653;12.69;3.70;0.00;-1.59;3.70;-2.11
6000;653;12.69;1.59;-0.53;1.06;-1.59;0.53
6000;661;12.69;3.70;1.59;2.64;1.06;-3.70
6000;664;12.69;2.11;0.00;-1.06;-1.06;2.11
6000;661;12.69;3.17;0.53;3.17;-0.53;-2.64
6000;650;12.69;3.70;0.00;-3.70;1.59;2.11
6000;653;12.69;3.70;0.00;3.70;-2.64;-1.06
6000;661;12.69;3.17;1.06;-1.59;3.17;-1.59
6000;661;12.69;6.34;-3.17;5.82;-4.76;-1.06
6000;657;12.69;2.64;0.53;0.00;2.11;-2.11
6000;657;12.69;-2.64;-2.11;2.11;-3.17;1.06
6000;657;12.69;-4.23;-3.17;-1.59;4.76;-3.17
6000;653;12.69;0.53;0.00;-0.53;0.00;0.53
6000;657;12.69;3.70;0.00;3.70;-1.06;-2.64
6000;657;12.69;1.59;0.00;-1.59;1.06;0.53
6000;664;12.69;4.76;0.00;4.23;-3.70;-0.53
6000;664;12.69;4.23;0.00;-3.17;4.23;-1.06
6000;661;12.69;3.17;-1.59;2.64;-2.64;0.00
6000;653;12.69;2.64;0.00;-0.53;2.64;-2.11
6000;653;12.69;-1.59;-1.59;1.59;-2.11;0.53
6000;657;12.69;1.59;-1.06;0.00;1.59;-1.59
6000;661;12.69;2.64;1.59;-2.64;1.59;1.06
6000;664;12.69;4.76;0.00;4.76;-1.59;-3.17
6000;661;12.69;2.11;1.06;-1.59;2.11;-0.53
