N cmd (ramp);N actual;I cmd (ramp);I actual;Id actual;I1 actual;I2 actual;I3 actual
6000;591;12.69;-2.64;-2.11;-1.06;3.17;-2.11
6000;588;12.69;3.17;1.59;-3.17;2.11;1.06
6000;595;12.69;4.23;0.00;4.23;-3.17;-1.06
6000;591;12.69;3.70;0.00;-2.11;3.70;-1.59
6000;595;12.69;2.64;-1.06;1.59;-2.64;1.06
6000;599;12.69;2.64;-1.06;0.00;2.11;-2.11
6000;595;12.69;2.64;0.53;-2.64;1.06;1.59
6000;591;12.69;2.11;0.00;2.11;-1.59;-0.53
6000;591;12.69;4.23;-1.06;-3.17;3.70;-0.53
6000;588;12.69;3.17;-1.59;1.59;-3.17;1.59
6000;591;12.69;-1.59;-1.59;-0.53;2.11;-1.59
6000;595;12.69;3.17;0.00;-3.17;1.06;2.11
6000;591;12.69;3.70;0.00;3.17;-3.17;0.00
6000;588;12.69;4.76;-2.11;-4.23;4.23;0.00
6000;595;12.69;2.64;0.00;-0.53;-2.11;2.64
6000;591;12.69;1.59;0.00;1.06;0.53;-1.59
6000;595;12.69;4.76;1.06;-3.70;4.76;-1.06
6000;591;12.69;2.64;-1.06;2.11;-2.64;0.53
6000;588;12.69;3.17;0.00;0.53;2.64;-3.17
6000;595;12.69;3.17;2.64;-3.17;2.64;0.53
6000;591;12.69;3.70;0.00;3.70;-1.59;-2.11
6000;595;12.69;4.23;0.53;-3.17;4.23;-1.06
6000;591;12.69;1.59;-0.53;1.06;-1.59;0.53
6000;599;12.69;-4.23;-3.17;-2.11;4.76;-2.64
6000;595;12.69;2.11;1.06;-2.11;1.06;1.06
6000;584;12.69;3.70;-0.53;3.70;-1.59;-2.11
6000;591;12.69;4.76;0.00;-3.70;4.76;-1.06
6000;588;12.69;-3.17;-2.64;3.17;-3.17;0.00
6000;599;12.69;3.17;-0.53;0.53;2.64;-3.17
6000;591;12.69;2.11;0.00;-2.11;0.53;1.59
6000;595;12.69;4.23;0.00;4.23;-3.17;-1.06
6000;591;12.69;4.76;0.00;-3.70;4.76;-1.06
6000;591;12.69;1.59;0.00;0.00;-1.59;1.59
6000;588;12.69;3.17;0.00;1.59;1.59;-3.17
6000;595;12.69;3.70;1.06;-3.70;1.59;2.11
6000;599;12.69;3.17;0.00;3.17;-2.64;-0.53
6000;591;12.69;5.29;-1.06;-4.23;4.76;-0.53
6000;595;12.69;2.64;-0.53;1.06;-2.64;1.59
6000;591;12.69;1.59;0.00;1.06;0.53;-1.59
6000;591;12.69;2.64;0.53;-2.64;1.59;1.06
6000;595;12.69;3.70;0.00;3.17;-3.17;0.00
6000;591;12.69;3.70;0.00;-2.11;3.70;-1.59
6000;595;12.69;2.11;0.00;-0.53;-1.59;2.11
6000;591;12.69;3.17;1.06;3.17;-0.53;-2.64
6000;591;12.69;3.70;0.53;-3.70;2.11;1.59
6000;595;12.69;2.64;0.53;2.11;-2.64;0.53
6000;595;12.69;3.17;-0.53;-2.11;3.17;-1.06
6000;591;12.69;2.64;-0.53;0.00;-2.11;2.11
6000;591;12.69;3.17;1.06;3.17;-0.53;-2.64
6000;602;12.69;2.11;0.00;-2.11;0.53;1.59
6000;591;12.69;4.23;-0.53;3.70;-3.17;-0.53
6000;599;12.69;2.64;-0.53;-1.59;2.64;-1.06
6000;588;12.69;-3.17;-3.17;2.64;-3.70;1.06
6000;588;12.69;3.70;0.00;3.17;0.00;-3.17
6000;591;12.69;2.64;0.53;-2.64;2.11;0.53
6000;595;12.69;6.34;-1.59;5.82;-4.76;-1.06
6000;591;12.69;3.17;0.53;0.00;2.64;-2.64
6000;591;12.69;2.64;-0.53;0.00;-2.11;2.11
6000;595;12.69;3.17;0.00;3.17;-0.53;-2.64
6000;595;12.69;3.70;0.00;-3.70;2.64;1.06
6000;599;12.69;4.23;-1.06;3.70;-3.70;0.00
6000;591;12.69;2.64;0.00;-0.53;2.64;-2.11
6000;584;12.69;3.17;-1.06;0.00;-2.64;2.64
6000;595;12.69;3.17;0.00;3.17;-0.53;-2.64
6000;595;12.69;3.17;1.59;-2.11;3.17;-1.06
6000;591;12.69;4.76;-2.11;4.23;-3.70;-0.53
6000;595;12.69;3.70;2.64;2.64;1.06;-3.70
6000;591;12.69;2.64;0.53;-2.11;0.00;2.11
6000;595;12.69;4.23;0.53;4.23;-1.59;-2.64
6000;595;12.69;3.17;1.06;-2.11;3.17;-1.06
6000;591;12.69;3.70;-1.59;3.17;-3.17;0.00
6000;595;12.69;2.64;0.00;0.53;2.11;-2.64
6000;595;12.69;1.06;0.53;-1.06;0.53;0.53
6000;595;12.69;3.70;-1.06;3.17;0.00;-3.17
6000;588;12.69;4.76;0.53;-3.70;4.23;-0.53
6000;595;12.69;3.70;-1.59;3.17;-3.17;0.00
6000;584;12.69;4.76;-1.06;-0.53;4.23;-3.70
6000;591;12.69;1.59;1.06;-1.59;1.06;0.53
6000;602;12.69;4.23;-0.53;4.23;-1.06;-3.17
6000;595;12.69;4.76;0.00;-3.70;4.23;-0.53
6000;591;12.69;2.64;-1.06;2.11;-2.64;0.53
6000;588;12.69;4.76;0.00;1.06;3.70;-4.76
6000;595;12.69;3.17;2.11;-3.17;2.11;1.06
6000;591;12.69;4.23;0.00;4.23;-2.11;-2.11
6000;595;12.69;4.76;0.00;-3.70;4.23;-0.53
6000;595;12.69;2.11;0.00;0.53;-2.11;1.59
6000;595;12.69;4.76;-1.59;0.00;4.23;-4.23
6000;599;12.69;2.64;1.06;-2.64;1.06;1.59
6000;580;12.69;3.17;0.00;3.17;-2.11;-1.06
6000;595;12.69;4.76;0.00;-3.70;4.76;-1.06
6000;591;12.69;1.06;0.00;0.00;-1.06;1.06
6000;595;12.69;3.70;0.00;2.11;1.59;-3.70
6000;599;12.69;2.64;1.06;-2.64;1.59;1.06
6000;595;12.69;2.64;0.53;2.11;-2.11;0.00
6000;591;12.69;3.70;0.00;-2.11;3.70;-1.59
6000;591;12.69;1.59;0.53;-0.53;-1.06;1.59
6000;595;12.69;2.11;0.00;1.06;1.06;-2.11
6000;595;12.69;2.11;0.53;-2.11;1.06;1.06
6000;595;12.69;2.11;0.00;2.11;-1.59;-0.53
6000;588;12.69;4.23;-0.53;-3.17;4.23;-1.06
6000;599;12.69;2.64;-1.06;1.06;-2.64;1.59
6000;599;12.69;2.11;0.00;1.06;1.06;-2.11
6000;588;12.69;3.70;0.00;-3.70;1.59;2.11
6000;588;12.69;4.76;-0.53;4.76;-3.70;-1.06
6000;595;12.69;3.70;0.00;-2.11;3.70;-1.59
6000;595;12.69;3.70;-1.59;1.59;-3.70;2.11
6000;591;12.69;2.64;0.00;2.11;0.53;-2.64
6000;591;12.69;1.59;0.00;-1.59;1.06;0.53
6000;595;12.69;4.23;-0.53;3.70;-3.17;-0.53
6000;599;12.69;3.17;0.00;-1.59;3.17;-1.59
6000;591;12.69;3.70;-2.11;1.59;-3.70;2.11
6000;591;12.69;2.64;-1.06;1.06;1.59;-2.64
6000;595;12.69;3.17;0.00;-3.17;1.59;1.59
6000;584;12.69;4.76;-1.59;4.76;-3.70;-1.06
6000;595;12.69;2.64;1.59;1.06;1.59;-2.64
6000;595;12.69;1.59;0.00;-0.53;-1.06;1.59
6000;599;12.69;3.17;1.06;3.17;-1.06;-2.11
6000;584;12.69;2.64;0.53;-2.11;2.11;0.00
6000;591;12.69;2.64;0.00;1.59;-2.64;1.06
6000;599;12.69;2.64;1.06;1.06;1.59;-2.64
6000;595;12.69;1.06;-0.53;0.00;-1.06;1.06
6000;591;12.69;1.59;0.00;1.59;-0.53;-1.06
6000;599;12.69;2.11;1.06;-1.59;2.11;-0.53
6000;599;12.69;4.23;-1.59;3.70;-3.17;-0.53
6000;591;12.69;3.17;0.00;0.00;2.64;-2.64
6000;584;12.69;2.64;-1.06;0.00;-2.11;2.11
6000;591;12.69;3.17;0.00;3.17;-0.53;-2.64
6000;599;12.69;3.70;0.53;-3.17;3.17;0.00
6000;595;12.69;4.23;-1.59;3.70;-3.70;0.00
6000;595;12.69;3.17;0.00;0.53;2.64;-3.17
6000;599;12.69;2.11;0.00;-1.06;-1.06;2.11
6000;595;12.69;3.17;0.00;3.17;-0.53;-2.64
6000;591;12.69;3.70;1.06;-2.64;3.70;-1.06
6000;599;12.69;2.64;0.00;1.59;-2.64;1.06
592;591;3.70;4.23;0.00;0.53;3.17;-3.70
544;591;0.00;1.06;1.06;-1.06;1.06;0.00
496;595;0.00;1.59;-0.53;1.06;0.53;-1.59
448;595;0.00;2.64;0.00;-2.11;2.11;0.00
400;595;0.00;-0.53;-0.53;0.53;0.53;-1.06
352;573;0.00;-0.53;-0.53;-0.53;1.06;-0.53
304;580;0.00;3.70;3.17;-3.17;3.17;0.00
256;588;0.00;1.59;0.00;-1.59;1.06;0.53
208;588;0.00;1.06;1.06;1.06;0.00;-1.06
160;577;0.00;0.53;0.00;0.00;0.53;-0.53
112;580;0.00;0.53;0.00;-0.53;0.00;0.53
64;577;0.00;1.59;0.00;1.59;0.00;-1.59
16;573;0.00;0.53;0.00;0.53;-0.53;0.00
0;573;0.00;1.06;0.53;1.06;-1.06;0.00
0;573;0.00;-0.53;-0.53;1.06;-0.53;-0.53
0;577;0.00;0.53;0.00;0.53;0.00;-0.53
0;577;0.00;0.53;0.00;0.53;0.00;-0.53
0;573;0.00;-2.11;-2.64;2.64;-0.53;-2.11
0;566;0.00;1.59;1.06;1.59;0.00;-1.59
0;566;0.00;1.59;1.06;-0.53;1.59;-1.06
0;573;0.00;1.59;-1.06;1.59;0.00;-1.59
0;566;0.00;0.53;0.00;-0.53;0.53;0.00
0;562;0.00;0.00;-0.53;0.53;-0.53;0.00
0;558;0.00;1.06;0.53;1.06;-0.53;-0.53
0;558;0.00;2.64;0.53;2.64;-1.06;-1.59
0;555;0.00;-1.06;-1.06;1.59;-0.53;-1.06
0;558;0.00;1.59;0.00;0.00;1.59;-1.59
0;558;0.00;1.59;1.06;-0.53;1.59;-1.06
0;551;0.00;-0.53;-0.53;0.53;0.53;-1.06
0;544;0.00;0.53;0.53;0.53;0.00;-0.53
0;551;0.00;0.53;0.53;-0.53;0.53;0.00
0;548;0.00;0.53;0.00;0.53;0.00;-0.53
0;540;0.00;1.06;0.53;0.53;0.53;-1.06
0;544;0.00;1.06;-0.53;0.53;0.53;-1.06
0;540;0.00;0.00;0.00;0.00;0.00;0.00
0;540;0.00;0.53;0.00;-0.53;0.00;0.53
0;537;0.00;-1.06;-1.06;1.59;-0.53;-1.06
0;533;0.00;1.06;0.00;0.00;1.06;-1.06
0;529;0.00;2.11;1.59;-1.06;2.11;-1.06
0;537;0.00;1.59;-0.53;1.59;-0.53;-1.06
0;537;0.00;0.53;0.00;0.00;0.53;-0.53
0;537;0.00;1.06;0.00;0.53;0.53;-1.06
0;529;0.00;2.64;-1.59;2.11;0.53;-2.64
0;529;0.00;0.53;0.00;0.00;0.53;-0.53
0;526;0.00;1.06;0.53;-1.06;0.53;0.53
0;526;0.00;-1.06;-1.06;0.53;1.06;-1.59
0;515;0.00;1.59;0.00;-1.06;1.59;-0.53
0;518;0.00;1.06;-0.53;0.53;0.53;-1.06
0;522;0.00;-0.53;-0.53;0.00;1.06;-1.06
0;518;0.00;1.06;0.53;1.06;0.00;-1.06
0;515;0.00;1.06;0.00;-0.53;1.06;-0.53
0;511;0.00;-0.53;-1.06;-1.06;1.06;0.00
0;511;0.00;2.11;0.00;2.11;-1.06;-1.06
0;511;0.00;-1.06;-1.59;1.59;0.00;-1.59
0;511;0.00;1.06;0.53;1.06;0.00;-1.06
0;507;0.00;0.53;0.00;0.53;-0.53;0.00
0;504;0.00;-2.11;-2.11;2.64;-1.06;-1.59
0;507;0.00;1.59;0.53;1.06;0.53;-1.59
0;500;0.00;1.06;0.00;1.06;-0.53;-0.53
0;493;0.00;-2.64;-2.64;3.17;-1.06;-2.11
0;504;0.00;0.53;0.00;0.00;0.53;-0.53
0;493;0.00;2.11;0.00;2.11;-1.06;-1.06
0;493;0.00;0.00;0.00;0.00;0.00;0.00
0;489;0.00;0.53;0.00;0.00;0.53;-0.53
0;489;0.00;0.53;0.00;0.53;0.00;-0.53
0;489;0.00;-1.06;-1.59;1.59;0.00;-1.59
0;485;0.00;0.00;0.00;0.00;0.00;0.00
0;485;0.00;1.06;0.53;-0.53;1.06;-0.53
0;485;0.00;-1.06;-1.06;1.06;0.53;-1.59
0;485;0.00;0.00;0.00;0.00;0.00;0.00
0;485;0.00;2.11;0.53;2.11;-0.53;-1.59
0;485;0.00;1.06;0.00;0.00;1.06;-1.06
0;478;0.00;1.59;0.53;1.59;-0.53;-1.06
0;474;0.00;1.06;0.53;-0.53;1.06;-0.53
