N cmd (ramp);N actual;I cmd (ramp);I actual;Id actual;I1 actual;I2 actual;I3 actual
6000;577;12.69;5.29;0.53;-4.23;4.76;-0.53
6000;569;12.69;4.23;-2.11;3.70;-3.70;0.00
6000;573;12.69;5.82;-2.64;-1.06;5.29;-4.23
6000;573;12.69;2.64;1.06;-2.64;1.06;1.59
6000;569;12.69;4.76;0.00;4.76;-3.17;-1.59
6000;573;12.69;3.17;0.53;-1.06;3.17;-2.11
6000;577;12.69;1.59;-0.53;0.53;-1.59;1.06
6000;573;12.69;1.59;0.00;1.59;0.00;-1.59
547;562;0.53;2.11;0.53;-2.11;1.59;0.53
499;577;0.00;2.64;-0.53;2.11;-2.11;0.00
451;569;0.00;2.11;1.59;1.59;0.53;-2.11
403;573;0.00;4.23;3.70;-3.70;3.17;0.53
355;569;0.00;2.11;0.00;2.11;-1.06;-1.06
307;573;0.00;2.64;0.53;-1.59;2.64;-1.06
259;577;0.00;0.00;-0.53;0.53;0.00;-0.53
211;569;0.00;-2.64;-2.64;-2.11;3.17;-1.06
163;562;0.00;1.06;0.00;-1.06;0.53;0.53
115;566;0.00;0.53;0.00;0.53;-0.53;0.00
67;569;0.00;1.06;0.53;0.53;0.53;-1.06
19;562;0.00;0.00;-0.53;0.53;-0.53;0.00
0;558;0.00;2.64;-0.53;2.11;0.53;-2.64
0;558;0.00;1.59;1.59;0.53;1.06;-1.59
0;562;0.00;-2.11;-2.64;2.64;-0.53;-2.11
0;558;0.00;-2.11;-2.11;-1.59;2.64;-1.06
0;555;0.00;0.53;0.00;-0.53;0.53;0.00
0;555;0.00;1.59;0.00;1.59;-1.06;-0.53
0;558;0.00;1.59;1.06;1.06;0.53;-1.59
0;551;0.00;0.00;-0.53;0.53;-0.53;0.00
0;555;0.00;-1.59;-1.06;1.06;1.06;-2.11
0;551;0.00;1.59;1.59;1.06;0.53;-1.59
0;551;0.00;-0.53;-1.06;1.06;0.00;-1.06
0;540;0.00;1.06;0.53;1.06;-0.53;-0.53
0;537;0.00;1.06;0.53;-1.06;1.06;0.00
0;548;0.00;-1.06;-1.06;1.59;-0.53;-1.06
0;540;0.00;1.06;0.00;0.53;0.53;-1.06
0;544;0.00;2.64;2.64;-2.11;2.64;-0.53
0;544;0.00;1.59;0.00;1.59;-1.06;-0.53
0;540;0.00;2.64;2.11;2.64;-1.06;-1.59
0;540;0.00;1.59;0.00;0.53;1.06;-1.59
0;540;0.00;1.06;0.00;1.06;0.00;-1.06
0;540;0.00;1.06;0.00;-0.53;1.06;-0.53
0;533;0.00;0.00;0.00;0.00;0.00;0.00
0;529;0.00;1.06;0.00;1.06;0.00;-1.06
0;540;0.00;1.06;0.53;-0.53;1.06;-0.53
0;529;0.00;-0.53;-1.06;1.06;0.00;-1.06
0;518;0.00;-1.59;-2.11;-1.59;2.11;-0.53
0;526;0.00;0.53;0.00;0.53;-0.53;0.00
0;526;0.00;-2.64;-2.64;3.17;-1.06;-2.11
0;518;0.00;1.59;0.00;0.53;1.06;-1.59
0;526;0.00;1.06;0.00;1.06;-0.53;-0.53
0;518;0.00;-1.59;-1.59;2.11;-0.53;-1.59
0;518;0.00;2.64;2.11;2.11;0.00;-2.11
0;511;0.00;1.59;0.00;1.06;0.53;-1.59
0;515;0.00;3.17;-1.06;3.17;-1.06;-2.11
0;515;0.00;3.17;3.17;3.17;-1.06;-2.11
0;515;0.00;1.06;0.00;1.06;0.00;-1.06
0;518;0.00;2.64;-1.06;2.11;0.00;-2.11
0;507;0.00;1.06;1.06;1.06;0.00;-1.06
0;504;0.00;0.53;0.00;-0.53;0.00;0.53
0;504;0.00;2.11;0.00;2.11;-1.06;-1.06
0;504;0.00;0.53;0.53;0.53;0.00;-0.53
0;496;0.00;1.06;0.00;0.53;0.53;-1.06
0;507;0.00;3.17;0.00;3.17;-1.59;-1.59
0;504;0.00;1.06;1.06;1.06;0.00;-1.06
0;307;0.00;1.59;0.53;1.59;0.00;-1.59
0;299;0.00;1.59;1.59;1.06;0.53;-1.59
0;299;0.00;1.06;0.00;1.06;0.00;-1.06
0;299;0.00;-1.06;-1.59;1.59;-0.53;-1.06
0;299;0.00;1.06;-0.53;1.06;0.00;-1.06
0;299;0.00;0.53;0.00;0.00;0.53;-0.53
0;299;0.00;1.06;0.53;0.53;0.53;-1.06
0;299;0.00;0.53;0.00;-0.53;0.53;0.00
0;299;0.00;-1.06;-1.59;1.59;-0.53;-1.06
0;299;0.00;1.59;-0.53;1.59;-0.53;-1.06
0;292;0.00;1.59;0.00;0.53;1.06;-1.59
0;296;0.00;1.06;0.53;0.53;0.53;-1.06
0;292;0.00;1.06;0.53;0.53;0.53;-1.06
0;281;0.00;-1.06;-1.59;1.59;-1.06;-0.53
0;288;0.00;0.00;0.00;0.00;0.00;0.00
0;281;0.00;1.06;0.00;1.06;0.00;-1.06
0;285;0.00;2.11;2.11;2.11;-0.53;-1.59
0;285;0.00;1.06;0.53;0.53;0.53;-1.06
0;277;0.00;1.06;-0.53;1.06;0.00;-1.06
0;277;0.00;-2.11;-1.59;2.64;-1.06;-1.59
0;281;0.00;2.11;0.53;2.11;-1.06;-1.06
0;274;0.00;1.59;1.59;1.59;0.00;-1.59
0;274;0.00;1.59;1.06;1.59;0.00;-1.59
0;270;0.00;1.06;0.53;-0.53;1.06;-0.53
0;274;0.00;0.00;-0.53;0.53;0.00;-0.53
0;274;0.00;1.06;-0.53;1.06;0.00;-1.06
0;274;0.00;1.06;0.53;1.06;0.00;-1.06
0;274;0.00;2.64;2.64;2.64;-0.53;-2.11
0;270;0.00;0.53;0.00;0.53;0.00;-0.53
0;270;0.00;-0.53;-0.53;1.06;-0.53;-0.53
0;266;0.00;-1.06;-1.06;1.59;-0.53;-1.06
0;263;0.00;1.59;0.00;1.59;-0.53;-1.06
0;266;0.00;1.59;0.53;1.06;0.53;-1.59
0;266;0.00;2.11;1.59;1.06;1.06;-2.11
0;255;0.00;1.06;0.53;0.00;1.06;-1.06
0;263;0.00;-1.06;-1.06;1.59;-1.06;-0.53
0;263;0.00;1.59;-0.53;1.59;-0.53;-1.06
0;255;0.00;1.06;0.00;1.06;0.00;-1.06
0;252;0.00;1.06;1.06;1.06;0.00;-1.06
0;252;0.00;1.06;0.53;0.53;0.53;-1.06
0;248;0.00;0.53;0.00;0.00;0.53;-0.53
0;248;0.00;0.53;0.00;0.00;0.53;-0.53
0;252;0.00;2.11;-1.06;2.11;-0.53;-1.59
0;248;0.00;1.59;0.53;1.59;-0.53;-1.06
0;252;0.00;1.06;0.00;-0.53;1.06;-0.53
0;241;0.00;1.06;0.53;0.53;0.53;-1.06
0;248;0.00;2.11;1.59;-2.11;1.59;0.53
0;241;0.00;0.53;0.00;-0.53;0.53;0.00
0;241;0.00;1.06;0.00;1.06;-0.53;-0.53
0;241;0.00;0.00;0.00;0.00;0.53;-0.53
0;244;0.00;2.11;2.11;2.11;-0.53;-1.59
0;234;0.00;1.06;0.53;0.53;0.53;-1.06
0;241;0.00;0.53;0.53;0.00;0.53;-0.53
0;234;0.00;0.00;0.00;0.53;0.00;-0.53
0;230;0.00;-1.06;-1.06;1.59;-0.53;-1.06
0;230;0.00;-0.53;-0.53;-0.53;1.06;-0.53
0;234;0.00;1.06;0.00;0.00;1.06;-1.06
0;234;0.00;1.06;0.00;-0.53;1.06;-0.53
0;223;0.00;1.59;0.53;1.59;0.00;-1.59
0;230;0.00;-0.53;-0.53;1.06;-0.53;-0.53
0;226;0.00;-1.06;-1.06;1.59;-0.53;-1.06
0;226;0.00;0.53;0.00;0.53;0.00;-0.53
0;223;0.00;1.06;0.53;1.06;-0.53;-0.53
0;226;0.00;1.59;0.00;-0.53;1.59;-1.06
0;226;0.00;1.06;0.53;0.53;0.53;-1.06
0;219;0.00;1.06;0.53;0.53;0.53;-1.06
0;223;0.00;0.00;-0.53;0.53;-0.53;0.00
0;215;0.00;-1.06;-1.06;1.59;-0.53;-1.06
234;219;0.53;1.59;-0.53;1.59;0.00;-1.59
282;215;4.23;1.59;1.06;1.59;-0.53;-1.06
330;212;7.40;1.59;0.00;-0.53;1.59;-1.06
378;215;10.57;4.23;0.53;-3.17;3.70;-0.53
426;212;12.69;5.29;1.59;-5.29;2.11;3.17
474;219;12.69;10.04;-4.76;3.17;-10.04;6.87
522;215;12.69;11.63;-0.53;7.93;-11.10;3.17
570;223;12.69;8.99;2.11;8.99;-5.82;-3.17
618;223;12.69;8.46;-0.53;3.70;4.76;-8.46
666;234;12.69;13.22;-0.53;-6.34;13.22;-6.87
714;230;12.69;10.57;3.17;-9.52;8.99;0.53
762;241;12.69;9.52;1.06;-7.40;-1.59;8.99
810;248;12.69;12.69;-1.59;5.82;-12.69;6.87
858;244;12.69;8.99;1.59;8.46;-7.40;-1.06
906;248;12.69;8.99;0.00;6.34;2.64;-8.99
954;255;12.69;14.27;-1.59;-6.87;14.27;-7.40
1002;263;12.69;10.04;2.64;-8.99;7.93;1.06
1050;259;12.69;9.52;0.00;-4.76;-4.76;9.52
1098;274;12.69;12.16;0.00;6.87;-12.16;5.29
1146;281;12.69;6.87;0.00;6.87;-2.64;-4.23
1194;281;12.69;11.63;-3.70;-1.59;10.57;-8.99
1242;288;12.69;12.16;0.00;-10.04;11.10;-1.06
1290;285;12.69;10.04;1.59;-8.99;1.06;7.93
1338;292;12.69;13.22;-1.59;5.29;-13.22;7.93
1386;296;12.69;8.99;0.53;8.99;-5.82;-3.17
1434;303;12.69;9.52;-3.17;0.00;8.46;-8.46
1482;307;12.69;12.69;0.00;-10.57;11.63;-1.06
1530;307;12.69;10.57;0.00;-8.46;-1.06;9.52
1578;318;12.69;13.75;-2.11;7.93;-13.75;5.82
1626;321;12.69;7.93;-0.53;7.40;-1.59;-5.82
1674;325;12.69;13.75;-3.17;-3.70;13.22;-9.52
1722;332;12.69;10.04;2.11;-8.99;7.93;1.06
1770;329;12.69;10.57;-3.17;0.00;-8.99;8.99
1818;339;12.69;13.22;-1.06;12.16;-10.57;-1.59
1866;332;12.69;8.46;0.00;5.29;3.17;-8.46
1914;343;12.69;11.63;0.53;-7.93;11.63;-3.70
1962;347;12.69;9.52;1.06;-8.46;0.00;8.46
2010;350;12.69;13.75;-1.59;8.99;-13.22;4.23
2058;354;12.69;8.99;0.00;7.93;0.00;-7.93
2106;361;12.69;13.22;0.00;-5.82;13.22;-7.40
2154;361;12.69;8.46;0.00;-7.93;1.06;6.87
2202;365;12.69;14.27;-3.17;8.99;-14.27;5.29
2250;372;12.69;8.99;0.00;7.93;-0.53;-7.40
2298;376;12.69;12.16;0.00;-5.29;12.16;-6.87
2346;376;12.69;8.99;1.06;-8.46;1.59;6.87
2394;383;12.69;13.75;-1.59;8.46;-13.75;5.29
2442;391;12.69;9.52;0.53;8.46;-0.53;-7.93
2490;394;12.69;13.22;0.00;-8.46;13.22;-4.76
2538;394;12.69;8.46;0.00;-5.82;-2.11;7.93
2586;405;12.69;14.27;-3.17;12.69;-11.63;-1.06
2634;405;12.69;8.99;-1.06;3.17;5.82;-8.99
2682;409;12.69;11.10;2.11;-8.99;10.04;-1.06
2730;409;12.69;11.10;-4.76;2.64;-10.57;7.93
